sampleA	sampleB	n_avail	n_a	n_b	n_sh	SHa	SHb	SHc	SHs
SD06	SD11	724839	24310	26931	10910	0.4488	0.4051	-0.5449	-0.2731
SD06	SD12	715110	21385	32702	12577	0.5881	0.3846	-0.5654	-0.2046
SD07	SD08	538962	19402	34531	14018	0.7225	0.406	-0.544	-0.1238
SD07	SD09	721393	24136	24113	9658	0.4001	0.4005	-0.5499	-0.3022
SD07	SD10	714072	22331	33785	14272	0.6391	0.4224	-0.5276	-0.164
SD07	SD11	721739	24180	26835	10716	0.4432	0.3993	-0.5507	-0.2791
SD07	SD12	712131	21309	32591	13564	0.6365	0.4162	-0.5338	-0.1673
SD08	SD09	539618	34576	19163	13007	0.3762	0.6788	-0.5738	-0.1556
SD08	SD10	534866	31732	27104	19613	0.6181	0.7236	-0.3319	-0.0751
SD08	SD11	540005	34607	21101	14978	0.4328	0.7098	-0.5172	-0.1242
SD08	SD12	533336	30609	26634	19607	0.6406	0.7362	-0.3094	-0.0661
SD09	SD10	716939	21693	33888	14026	0.6466	0.4139	-0.5361	-0.1627
SD09	SD11	724609	24254	26936	10862	0.4478	0.4033	-0.5467	-0.2746
SD09	SD12	715026	21320	32717	12516	0.5871	0.3826	-0.5674	-0.2059
SD10	SD11	716874	33907	24442	14803	0.4366	0.6056	-0.5134	-0.1768
SD10	SD12	708473	29534	30222	18536	0.6276	0.6133	-0.3367	-0.1086
SD11	SD12	715122	23789	32738	13682	0.5751	0.4179	-0.5321	-0.1995
SW01	SW02	760864	7388	8115	2262	0.3062	0.2787	-0.6713	-0.4322
SW01	SW03	760752	7330	7313	2056	0.2805	0.2811	-0.6695	-0.4478
SW01	SW04	760586	7294	7759	2145	0.2941	0.2765	-0.6735	-0.4417
SW01	SW05	759130	7358	7019	2444	0.3322	0.3482	-0.6178	-0.3718
SW01	SW06	759860	7370	7044	1974	0.2678	0.2802	-0.6822	-0.4569
SW01	SW07	759206	7343	11588	3130	0.4263	0.2701	-0.6799	-0.3561
SW01	SW08	759206	7323	6790	1610	0.2199	0.2371	-0.7301	-0.5205
SW01	SW09	760574	7378	7413	2268	0.3074	0.3059	-0.6441	-0.4139
SW01	SW10	759761	7376	7436	2310	0.3132	0.3107	-0.6393	-0.4071
SW01	SW11	759393	7351	7354	2104	0.2862	0.2861	-0.6639	-0.4407
SW01	SW12	758099	7354	6972	2009	0.2732	0.2882	-0.6768	-0.4479
SW02	SW03	761185	8057	7327	2346	0.2912	0.3202	-0.6588	-0.4149
SW02	SW04	761214	8037	7781	2223	0.2766	0.2857	-0.6734	-0.4473
SW02	SW05	759365	8095	7017	2622	0.3239	0.3737	-0.6261	-0.3608
SW02	SW06	760280	8105	7043	1968	0.2428	0.2794	-0.7072	-0.4742
SW02	SW07	759657	8080	11595	3939	0.4875	0.3397	-0.6103	-0.2823
SW02	SW08	759751	8086	6803	1830	0.2263	0.269	-0.7237	-0.4928
SW02	SW09	761101	8133	7413	1989	0.2446	0.2683	-0.7054	-0.4809
SW02	SW10	760251	8132	7448	1979	0.2434	0.2657	-0.7066	-0.4835
SW02	SW11	759901	8106	7363	2107	0.2599	0.2862	-0.6901	-0.4581
SW02	SW12	758506	8094	6968	1924	0.2377	0.2761	-0.7123	-0.48
SW03	SW04	761114	7237	7705	1954	0.27	0.2536	-0.6964	-0.4736
SW03	SW05	759272	7307	6961	2892	0.3958	0.4155	-0.5542	-0.2962
SW03	SW06	760149	7313	6977	2267	0.31	0.3249	-0.64	-0.4001
SW03	SW07	759516	7285	11491	3277	0.4498	0.2852	-0.6648	-0.3325
SW03	SW08	759355	7275	6755	1477	0.203	0.2187	-0.747	-0.5463
SW03	SW09	760896	7325	7347	2121	0.2896	0.2887	-0.6613	-0.4367
SW03	SW10	760070	7325	7377	1958	0.2673	0.2654	-0.6846	-0.4674
